max_time,mean_time,positive_score,negative_score,subjective_score,negative,positive,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,ttr,cttr,diversity,herdan,summer,dugast,maas,utterances,WC,unique,word_per_utter,label
172.0,17.2,0.2784090909090909,0.20196280991735538,0.1413551401869159,4,13,1,9,0,2,7,2,1,13,0.4140786749482402,6.434894520877869,46.383333333333326,0.8573305969032582,0.9154834996443398,43.31704289434789,0.02308560172122189,11,488,46,44.36363636363637,2
195.0,13.928571428571429,0.2625,0.2625,0.1404494382022472,1,14,0,10,0,0,11,1,5,10,0.5278969957081545,5.697864971728578,49.13031674208145,0.8828013958009435,0.9264921731866168,46.511120937134734,0.02150023434936384,15,255,44,17.0,2
198.0,14.142857142857142,0.28838582677165353,0.14566929133858267,0.125,1,10,0,8,0,0,3,0,2,8,0.48314606741573035,5.58237595906211,62.87639275766017,0.8698042098153443,0.9189257804401655,42.91420368105527,0.02330230819222811,15,286,43,19.066666666666666,2
170.0,11.333333333333334,0.4164438502673797,0.14037433155080214,0.18551587301587302,1,11,0,6,0,0,5,0,5,9,0.5582329317269076,6.228738937780269,87.12069462458568,0.8943391136682729,0.9346160859767442,52.21849908718744,0.01915030147324484,16,259,43,16.1875,2
151.0,6.291666666666667,0.2837301587301587,0.13690476190476192,0.11931818181818182,3,8,1,13,0,1,6,1,2,6,0.36688311688311687,4.552899746743399,32.80046118370484,0.8250096853041385,0.8898112374306423,32.74523960330412,0.03053879012994292,25,330,47,13.2,2
163.0,13.583333333333334,0.3125,0.25243506493506496,0.16594827586206898,2,13,1,13,1,1,10,5,2,8,0.447098976109215,5.41156012025678,50.93270941031808,0.8582833055921492,0.9120191951749146,40.081181915448326,0.02494936407088769,13,293,45,22.53846153846154,2
205.0,12.8125,0.34265498652291104,0.2068733153638814,0.1990343347639485,10,22,2,13,1,8,10,11,3,14,0.42184154175588867,6.446036911386331,79.46799928926795,0.8595705676109086,0.9166660600537305,43.76809870340503,0.022847691118056335,17,504,47,29.647058823529413,2
160.0,6.666666666666667,0.30416666666666664,0.2013888888888889,0.1388888888888889,2,9,2,3,1,1,2,2,0,6,0.6645569620253164,5.906711479861626,82.6844836554896,0.9192835531572989,0.948109169493485,62.72073698800034,0.015943690205542687,25,163,52,6.52,2
187.0,15.583333333333334,0.43523316062176165,0.1483160621761658,0.15078125,4,8,1,3,1,1,4,1,1,4,0.36153846153846153,5.048609861978002,38.199078014968435,0.8294733781732365,0.8953226977622887,34.98660018718162,0.028582371383612734,13,409,51,31.46153846153846,2
150.0,7.142857142857143,0.3550531914893617,0.2127659574468085,0.22596153846153846,1,21,1,16,0,1,15,1,3,15,0.5463414634146342,5.531285741237702,68.33333333333333,0.8864343463167503,0.9279034635172076,46.871653589781836,0.021334856430539992,22,220,45,10.0,2
180.0,9.473684210526315,0.36564171122994654,0.14171122994652408,0.14518633540372672,3,13,2,10,1,3,7,1,1,7,0.4629080118694362,6.008895483016493,71.43087621696802,0.8676604900102011,0.9194040697987094,43.97842285195849,0.022738423416552033,20,353,49,17.65,2
156.0,17.333333333333332,0.26715686274509803,0.25,0.1356382978723404,2,4,1,1,0,2,2,2,0,2,0.7634408602150538,5.205972583258042,80.44108727932685,0.9404492683459746,0.9593742135813287,76.11324608883919,0.013138317591037998,10,100,44,10.0,2
158.0,14.363636363636363,0.30711206896551724,0.20150862068965517,0.16666666666666666,1,10,1,9,1,1,6,2,3,7,0.5224719101123596,4.9289901420295745,51.91666666666667,0.8747180288720791,0.9186373563045204,41.36096761281917,0.02417738408252485,12,187,42,15.583333333333334,2
184.0,18.4,0.33090909090909093,0.20954545454545453,0.16063084112149534,3,15,1,9,0,2,8,2,5,9,0.41202672605790647,6.173529959460499,59.39375236130081,0.8548118978817635,0.9133025198016423,42.06283296388083,0.02377395742361661,11,478,46,43.45454545454545,2
2.0,0.13333333333333333,0.5897435897435898,0.0673076923076923,0.1875,1,1,0,0,0,1,1,1,0,1,0.5735294117647058,3.344222410278922,20.790286975717443,0.8682438573664704,0.9018678542547747,32.02513082758021,0.03122547743470246,16,70,38,4.375,2
246.0,10.695652173913043,0.395042194092827,0.10232067510548523,0.14886934673366833,4,18,0,12,1,1,12,1,3,8,0.44547563805104406,6.539545951585648,52.00755137206774,0.8666999159815274,0.9206406431628594,45.507158789660714,0.021974564587126044,24,463,59,19.291666666666668,2
178.0,14.833333333333334,0.279874213836478,0.17374213836477986,0.13613013698630136,4,4,1,4,0,1,2,1,1,2,0.3879781420765027,5.248471023777467,46.45476075555011,0.8395959528025584,0.9015237966844644,36.798531187531715,0.027174997689549785,13,368,45,28.307692307692307,2
200.0,15.384615384615385,0.2463768115942029,0.2554347826086957,0.11815068493150685,4,7,1,1,1,4,1,3,2,3,0.5843373493975904,5.323566609499982,70.12706011966608,0.8948986515427709,0.9319406717392829,48.638650820325715,0.020559780814933867,14,178,39,12.714285714285714,2
187.0,7.1923076923076925,0.3864795918367347,0.08290816326530612,0.12009803921568628,0,11,0,4,0,0,6,0,1,7,0.5596330275229358,5.842740339849024,51.119148098747075,0.8921952734124794,0.9322431487613035,49.946743832402575,0.020021325180987225,27,233,48,8.62962962962963,2
90.0,18.0,0.4431818181818182,0.07954545454545454,0.18333333333333332,0,3,0,2,0,0,2,0,1,2,0.7872340425531915,3.816258611157535,45.91150724637682,0.9378648005703524,0.9524153032602928,61.964033865689515,0.016138394123396738,5,49,35,9.8,2
167.0,20.875,0.23969072164948454,0.18685567010309279,0.12898936170212766,1,13,0,1,0,0,2,1,0,6,0.5070422535211268,5.232617097604299,34.59610559691205,0.8733214087959825,0.9193358623356634,42.322006542328836,0.02362836929765697,9,223,41,24.77777777777778,2
221.0,9.208333333333334,0.36729857819905215,0.14632701421800948,0.1136853448275862,2,18,1,8,1,1,7,2,2,7,0.3933463796477495,6.2873930332530374,60.669609710735976,0.8503833570719866,0.9114575061432115,41.682325362722345,0.023990983979370967,25,566,54,22.64,2
175.0,10.9375,0.3971518987341772,0.12974683544303797,0.20153061224489796,1,8,0,5,0,1,7,2,2,6,0.5634920634920635,4.472579597275855,48.66078692115144,0.8813960722418415,0.9199007167632396,40.7767432189344,0.024523782947326135,17,126,39,7.411764705882353,2
178.0,12.714285714285714,0.33294392523364486,0.17289719626168223,0.12985436893203883,0,8,0,14,0,2,3,1,2,5,0.5110132158590308,5.444149751781612,48.646474788041054,0.8762458964208623,0.9218759046885395,43.83652630970965,0.022812026503534866,15,228,52,15.2,2
180.0,12.0,0.3609467455621302,0.1930473372781065,0.15533088235294118,1,12,1,8,1,1,9,1,4,10,0.4025974025974026,4.996102376957357,36.00957714471228,0.8412212261866762,0.9009581604254953,36.08857560337663,0.027709600151313116,16,308,44,19.25,2
144.0,16.0,0.3911764705882353,0.16176470588235295,0.17,0,11,0,13,0,1,6,1,3,10,0.4509090909090909,5.287377765619138,42.68197653098643,0.8581944113064484,0.9113869322207708,39.608954410144364,0.02524681640532998,10,287,41,28.7,2
168.0,18.666666666666668,0.16964285714285715,0.11607142857142858,0.09210526315789473,0,1,0,0,0,0,0,0,0,0,0.7755102040816326,3.838579669298401,46.78115479115479,0.9346747488552685,0.9502849243610877,59.57604800459306,0.01678526913908261,10,52,36,5.2,2
180.0,7.826086956521739,0.38604417670682734,0.11947791164658635,0.19212962962962962,4,13,1,15,1,1,5,2,4,8,0.4339622641509434,5.910495940625537,47.71185387673957,0.8588963512758973,0.9144357991310784,41.928058672495915,0.0238503768517187,24,373,46,15.541666666666666,2
131.0,14.555555555555555,0.391156462585034,0.10629251700680271,0.14583333333333334,3,14,1,13,0,1,5,2,5,14,0.5018450184501845,5.841700202390785,49.04389148401006,0.8769280057798948,0.9237844812484888,45.51903831882929,0.02196882967947815,10,283,45,28.3,2
180.0,12.0,0.4743975903614458,0.0783132530120482,0.17291666666666666,2,3,0,3,0,2,2,3,2,4,0.5925925925925926,4.868644955601477,49.57816377171216,0.8933294937799342,0.9290706130736274,45.98529576974762,0.02174608172593011,16,144,44,9.0,2
192.0,19.2,0.3048780487804878,0.17256097560975608,0.15073529411764705,2,14,0,6,0,0,6,5,3,5,0.4587628865979381,6.38982761169787,79.75098392457511,0.8692801390141962,0.9215288123065569,45.60137453229574,0.021929163545098437,11,407,49,37.0,2
185.0,14.23076923076923,0.3121951219512195,0.19329268292682927,0.13486842105263158,4,7,1,7,0,0,4,2,8,7,0.3926247288503254,5.960917543545998,60.24815258163609,0.847572095406668,0.9088190362988765,40.23802635980705,0.024852113546972567,14,462,48,33.0,2
191.0,5.617647058823529,0.2933823529411765,0.1786764705882353,0.12957317073170732,7,18,0,10,0,4,9,7,4,9,0.4789915966386555,6.399514162231774,77.1099423631124,0.8747694260843223,0.9244596406464719,46.93530978894446,0.021305920947293895,35,380,55,10.857142857142858,2
174.0,14.5,0.3620689655172414,0.1311576354679803,0.15014792899408283,1,14,2,16,0,0,11,1,4,11,0.49554896142433236,6.432599651690733,90.94766529438385,0.8793678498507065,0.9270136132419285,48.246532314556845,0.020726878223707737,13,358,41,27.53846153846154,2
175.0,13.461538461538462,0.26420454545454547,0.20738636363636365,0.12790697674418605,3,20,0,11,2,1,6,1,3,17,0.4704225352112676,6.267398319090693,70.36351154902277,0.8715754683241751,0.9223524856308101,45.724268664635545,0.021870224045232867,14,380,43,27.142857142857142,2
147.0,21.0,0.40597826086956523,0.11467391304347826,0.1819620253164557,2,10,1,8,0,0,5,0,3,10,0.5167173252279635,6.627289992476329,85.21944323618965,0.8860847593128411,0.9311722155531797,50.88044159677342,0.01965391747039033,8,343,50,42.875,2
181.0,6.464285714285714,0.3894230769230769,0.16025641025641027,0.20103092783505155,2,13,0,7,1,0,6,1,3,6,0.586046511627907,6.076259559347193,71.9327051208833,0.9005041638670118,0.9376538890268473,53.978520477471626,0.01852588754108883,29,215,51,7.413793103448276,2
193.0,8.772727272727273,0.44326923076923075,0.1375,0.203125,0,6,0,6,0,0,5,0,4,4,0.5187165775401069,5.015750592951686,59.81439292414902,0.8745203576472688,0.9189666243524413,41.68890282735752,0.02398719880302942,23,189,42,8.217391304347826,2
